村里,2024-2022,2024民眾黨,2022村里長得票,2024投票數,2024選舉人數,2024投票率,里長姓名,里長政黨
澎湖縣馬公市五德里,-39,109,148,505,789,64.01,顏錦鸞,無
澎湖縣馬公市井垵里,-95,63,158,505,789,64.01,陳冠霖,無
澎湖縣馬公市光復里,-111,194,305,532,912,58.33,黃敏惠,中國國民黨
澎湖縣馬公市光明里,-392,10,402,741,1262,58.72,陳黃淑媛,無
澎湖縣馬公市光榮里,43,460,417,741,1262,58.72,陳昭任,無
澎湖縣馬公市光華里,-320,19,339,606,1078,56.22,蔡武智,無
澎湖縣馬公市前寮里,-247,165,412,606,1078,56.22,林團圓,無
澎湖縣馬公市啟明里,-139,103,242,532,845,62.96,蔡美珠,無
澎湖縣馬公市安宅里,-98,100,198,606,1078,56.22,張儷盈,無
澎湖縣馬公市山水里,-152,176,328,505,789,64.01,陳安國,無
澎湖縣馬公市嵵裡里,-271,111,382,505,789,64.01,林來續,無
澎湖縣馬公市復興里,-97,81,178,246,446,55.16,紀招治,中國國民黨
澎湖縣馬公市朝陽里,-13,586,599,741,1262,58.72,顏明清,無
澎湖縣馬公市東文里,91,431,340,627,1049,59.77,李美珠,無
澎湖縣馬公市東衛里,-62,259,321,606,1078,56.22,莊福氣,中國國民黨
澎湖縣馬公市案山里,-59,203,262,466,948,49.16,薛益民,無
澎湖縣馬公市桶盤里,-126,49,175,741,1262,58.72,蘇德成,無
澎湖縣馬公市烏崁里,-228,132,360,606,1078,56.22,葉順圓,無
澎湖縣馬公市石泉里,-24,346,370,606,1078,56.22,陳召君,無
澎湖縣馬公市興仁里,-487,181,668,606,1078,56.22,王太平,無
澎湖縣馬公市菜園里,-119,59,178,606,1078,56.22,黃文隆,無
澎湖縣馬公市虎井里,-142,66,208,741,1262,58.72,陳大川,無
澎湖縣馬公市西文里,183,399,216,554,965,57.41,林見芳,無
澎湖縣馬公市西衛里,539,953,414,741,1262,58.72,藍銘洲,無
澎湖縣馬公市重光里,-401,175,576,741,1262,58.72,陳天成,無
澎湖縣馬公市重慶里,-392,99,491,592,895,66.15,葉建祿,無
澎湖縣馬公市鎖港里,-210,268,478,505,789,64.01,蔡成火,無
澎湖縣馬公市鐵線里,-339,17,356,505,789,64.01,陳順志,無
澎湖縣馬公市長安里,-169,82,251,323,514,62.84,楊嘉鵬,無
澎湖縣馬公市陽明里,-290,257,547,741,1262,58.72,黃信義,中國國民黨
澎湖縣馬公市風櫃里,-254,126,380,505,789,64.01,洪有慶,無
