登記日期,登記之政黨,名單次序,候選人姓名,性別,候選人種類,受理登記機關,備註
2023/11/24,民主進步黨,10,莊瑞雄,男,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,11,林楚茵,女,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,12,郭昱晴,女,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,13,王正旭,男,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,14,王義川,男,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,15,陳培瑜,女,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,16,陳俊翰,男,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,17,張秀君,女,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,18,黃奕睿,男,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,19,孫一信,男,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,20,吳祥榮,男,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,21,陳慧君 Mulas·Ismahasan,女,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,22,柯富揚,男,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,23,劉柏君,女,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,24,石明謹,男,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,25,曾美玲,女,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,26,黃真瑋,女,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,27,曾湘樺,女,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,28,鄭力嘉,男,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,29,陳右欣,女,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,30,余宛如,女,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,31,許菡芸,女,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,32,周威佑,男,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,33,廖韶吟,女,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,34,蔡宜文,女,全國不分區,中央選舉委員會,
2023/11/24,小民參政歐巴桑聯盟,1,高芸婷,女,全國不分區,中央選舉委員會,
2023/11/24,小民參政歐巴桑聯盟,2,林詩涵,女,全國不分區,中央選舉委員會,
2023/11/24,小民參政歐巴桑聯盟,3,閔柏陵,女,全國不分區,中央選舉委員會,
2023/11/24,台灣綠黨,1,鍾寶珠,女,全國不分區,中央選舉委員會,
2023/11/24,台灣綠黨,2,李菁琪,女,全國不分區,中央選舉委員會,
2023/11/24,台灣綠黨,3,黃柔嘉,女,全國不分區,中央選舉委員會,
2023/11/24,台灣綠黨,4,吳伊婷,女,全國不分區,中央選舉委員會,
2023/11/24,台灣綠黨,5,希婻·瑪飛洑,女,全國不分區,中央選舉委員會,
2023/11/24,台灣綠黨,6,林莉棻,女,全國不分區,中央選舉委員會,
2023/11/24,台灣綠黨,7,黃慧芬,女,全國不分區,中央選舉委員會,
2023/11/24,台灣綠黨,8,張竹芩,女,全國不分區,中央選舉委員會,
2023/11/24,台灣維新,1,蘇煥智,男,全國不分區,中央選舉委員會,
2023/11/24,台灣維新,2,劉亦恩,女,全國不分區,中央選舉委員會,
2023/11/24,台灣維新,3,張幸松,男,全國不分區,中央選舉委員會,
2023/11/24,台灣維新,4,江映瑤,女,全國不分區,中央選舉委員會,
2023/11/24,司法改革黨,1,戴翊如,女,全國不分區,中央選舉委員會,
2023/11/24,司法改革黨,2,張靜,男,全國不分區,中央選舉委員會,
2023/11/24,司法改革黨,3,李柏融,男,全國不分區,中央選舉委員會,
2023/11/24,司法改革黨,4,尤瑞敏,女,全國不分區,中央選舉委員會,
2023/11/24,司法改革黨,5,賴伯琦,男,全國不分區,中央選舉委員會,
2023/11/24,司法改革黨,6,吳振橐,男,全國不分區,中央選舉委員會,
2023/11/24,司法改革黨,7,晏揚清,男,全國不分區,中央選舉委員會,
2023/11/24,司法改革黨,8,許韶珍,女,全國不分區,中央選舉委員會,
2023/11/24,司法改革黨,9,楊啓珊,女,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,1,黃珊珊,女,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,2,黃國昌,男,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,3,陳昭姿,女,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,4,吳春城,男,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,5,麥玉珍,女,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,6,林國成,男,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,7,林憶君,女,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,8,張啓楷,男,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,9,劉書彬,女,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,10,洪毓祥,男,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,11,蔡春綢,女,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,12,王安祥,男,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,13,邱慧洳,女,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,14,陳清龍,男,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,15,李貞秀,女,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,16,許忠信,男,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,17,徐瑞希,女,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,18,楊弘意,男,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,19,陳智菡,女,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,20,莊貽量,男,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,21,林筱淇,女,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,22,蔡豐州,男,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,23,張雪如,女,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,24,湯宏正,男,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,25,林淑芬,女,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,26,梁明輝,男,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,27,廖維欣,女,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,28,馮啟彥,男,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,29,林子宇,女,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,30,張清俊,男,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,31,林治華,女,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,32,李家豪,男,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,33,邱于珊,女,全國不分區,中央選舉委員會,
2023/11/24,台灣民眾黨,34,周榆修,男,全國不分區,中央選舉委員會,
2023/11/24,台灣團結聯盟,1,周倪安,女,全國不分區,中央選舉委員會,
2023/11/24,台灣團結聯盟,2,劉一德,男,全國不分區,中央選舉委員會,
2023/11/24,台灣團結聯盟,3,歐陽瑞蓮,女,全國不分區,中央選舉委員會,
2023/11/24,台灣團結聯盟,4,王思棠,男,全國不分區,中央選舉委員會,
2023/11/24,台灣團結聯盟,5,張登凱,男,全國不分區,中央選舉委員會,
2023/11/24,台灣團結聯盟,6,吳家慶,男,全國不分區,中央選舉委員會,
2023/11/24,人民最大黨,1,林東雄,男,全國不分區,中央選舉委員會,
2023/11/24,人民最大黨,2,賴方靜靜,女,全國不分區,中央選舉委員會,
2023/11/24,制度救世島,1,林麗容,女,全國不分區,中央選舉委員會,
2023/11/24,制度救世島,2,石人仁,男,全國不分區,中央選舉委員會,
2023/11/24,制度救世島,3,張怡菁,女,全國不分區,中央選舉委員會,
2023/11/24,制度救世島,4,古文發,男,全國不分區,中央選舉委員會,
2023/11/24,制度救世島,5,黃千明,男,全國不分區,中央選舉委員會,
